action,overlap_vs_identity
P4_supervised_subspace_a033,0.9907407407407407
P4_supervised_subspace_a067,0.9818672839506173
P4_supervised_subspace_a100,0.9795524691358024
P3_low_rank_affine_a033,0.970679012345679
P1_mean_shift_a033,0.9583333333333334
P3_low_rank_affine_a067,0.9544753086419754
P3_low_rank_affine_a100,0.9367283950617283
P1_mean_shift_a067,0.9027777777777778
P2_diag_scaling_a033,0.8881172839506173
P1_mean_shift_a100,0.8360339506172839
P2_diag_scaling_a067,0.7349537037037037
P2_diag_scaling_a100,0.5895061728395061
