action,accuracy_mean,accuracy_std
P2_diag_scaling_a100,0.4571759259259259,0.15661608349088765
P2_diag_scaling_a067,0.44830246913580246,0.14700099300787658
P1_mean_shift_a100,0.4313271604938272,0.1509396384505735
P2_diag_scaling_a033,0.42669753086419754,0.14974342733033433
P1_mean_shift_a067,0.42399691358024694,0.15444993648086672
P1_mean_shift_a033,0.41280864197530864,0.15482027640773818
P4_supervised_subspace_a033,0.4112654320987654,0.14582414727094298
P4_supervised_subspace_a067,0.4112654320987654,0.1437633254096928
A0_identity,0.41087962962962965,0.1452949718951922
P4_supervised_subspace_a100,0.40933641975308643,0.1438297010965538
P3_low_rank_affine_a033,0.4035493827160494,0.14667598993000824
P3_low_rank_affine_a100,0.4020061728395061,0.14876737810730947
P3_low_rank_affine_a067,0.40046296296296297,0.149194483879471
