action,overlap_vs_identity,pca_rank,lifting
P4_supervised_subspace_a033,1.0,8,quadratic
P4_supervised_subspace_a067,1.0,8,quadratic
P4_supervised_subspace_a100,1.0,8,quadratic
P3_low_rank_affine_a033,0.9699074074074073,8,quadratic
P3_low_rank_affine_a067,0.9456018518518517,8,quadratic
P1_mean_shift_a033,0.9444444444444444,8,quadratic
P3_low_rank_affine_a100,0.9232253086419754,8,quadratic
P1_mean_shift_a067,0.88695987654321,8,quadratic
P2_diag_scaling_a033,0.8680555555555556,8,quadratic
P1_mean_shift_a100,0.8186728395061729,8,quadratic
P2_diag_scaling_a067,0.7060185185185185,8,quadratic
P2_diag_scaling_a100,0.5285493827160495,8,quadratic
P4_supervised_subspace_a033,0.9864969135802468,16,quadratic
P4_supervised_subspace_a067,0.9756944444444444,16,quadratic
P4_supervised_subspace_a100,0.9699074074074073,16,quadratic
P3_low_rank_affine_a033,0.9683641975308643,16,quadratic
P1_mean_shift_a033,0.9564043209876544,16,quadratic
P3_low_rank_affine_a067,0.9486882716049383,16,quadratic
P3_low_rank_affine_a100,0.9351851851851851,16,quadratic
P1_mean_shift_a067,0.9008487654320988,16,quadratic
P2_diag_scaling_a033,0.8861882716049383,16,quadratic
P1_mean_shift_a100,0.8352623456790123,16,quadratic
P2_diag_scaling_a067,0.7368827160493827,16,quadratic
P2_diag_scaling_a100,0.5952932098765431,16,quadratic
P1_mean_shift_a033,0.958719135802469,24,quadratic
P3_low_rank_affine_a033,0.9579475308641974,24,quadratic
P4_supervised_subspace_a033,0.9405864197530865,24,quadratic
P3_low_rank_affine_a067,0.939429012345679,24,quadratic
P4_supervised_subspace_a067,0.9309413580246912,24,quadratic
P4_supervised_subspace_a100,0.9282407407407407,24,quadratic
P3_low_rank_affine_a100,0.9247685185185185,24,quadratic
P1_mean_shift_a067,0.9050925925925927,24,quadratic
P2_diag_scaling_a033,0.8888888888888888,24,quadratic
P1_mean_shift_a100,0.8422067901234568,24,quadratic
P2_diag_scaling_a067,0.7515432098765432,24,quadratic
P2_diag_scaling_a100,0.6111111111111112,24,quadratic
P1_mean_shift_a033,0.9579475308641976,32,quadratic
P3_low_rank_affine_a033,0.955246913580247,32,quadratic
P3_low_rank_affine_a067,0.9336419753086419,32,quadratic
P3_low_rank_affine_a100,0.9166666666666666,32,quadratic
P4_supervised_subspace_a033,0.9151234567901234,32,quadratic
P4_supervised_subspace_a067,0.9085648148148149,32,quadratic
P4_supervised_subspace_a100,0.908179012345679,32,quadratic
P1_mean_shift_a067,0.8950617283950617,32,quadratic
P2_diag_scaling_a033,0.8838734567901234,32,quadratic
P1_mean_shift_a100,0.8433641975308642,32,quadratic
P2_diag_scaling_a067,0.7523148148148148,32,quadratic
P2_diag_scaling_a100,0.6172839506172839,32,quadratic
P1_mean_shift_a033,0.949074074074074,48,quadratic
P3_low_rank_affine_a033,0.9363425925925927,48,quadratic
P3_low_rank_affine_a067,0.9128086419753088,48,quadratic
P3_low_rank_affine_a100,0.9004629629629629,48,quadratic
P1_mean_shift_a067,0.8931327160493827,48,quadratic
P2_diag_scaling_a033,0.8834876543209877,48,quadratic
P4_supervised_subspace_a067,0.8831018518518519,48,quadratic
P4_supervised_subspace_a100,0.8831018518518519,48,quadratic
P4_supervised_subspace_a033,0.8823302469135803,48,quadratic
P1_mean_shift_a100,0.8364197530864197,48,quadratic
P2_diag_scaling_a067,0.7434413580246914,48,quadratic
P2_diag_scaling_a100,0.599537037037037,48,quadratic
P1_mean_shift_a033,0.9429012345679012,64,quadratic
P3_low_rank_affine_a033,0.92554012345679,64,quadratic
P3_low_rank_affine_a067,0.8977623456790123,64,quadratic
P1_mean_shift_a067,0.88695987654321,64,quadratic
P3_low_rank_affine_a100,0.8838734567901234,64,quadratic
P2_diag_scaling_a033,0.8792438271604939,64,quadratic
P4_supervised_subspace_a033,0.8595679012345678,64,quadratic
P4_supervised_subspace_a067,0.8580246913580247,64,quadratic
P4_supervised_subspace_a100,0.8553240740740741,64,quadratic
P1_mean_shift_a100,0.8275462962962963,64,quadratic
P2_diag_scaling_a067,0.7430555555555556,64,quadratic
P2_diag_scaling_a100,0.6033950617283951,64,quadratic
