target_subject,accuracy,kappa,f1_macro,w_mean,w_std
1,0.5381944444444444,0.3842592592592593,0.5073483628556092,0.5344427223343997,0.00531284764966738
2,0.2013888888888889,-0.06481481481481488,0.183603786455257,0.5176991098327883,0.005955866194109617
3,0.5798611111111112,0.43981481481481477,0.5763412122135007,0.5338064861366066,0.006536170567102864
4,0.4027777777777778,0.20370370370370372,0.37289457233922685,0.5339002969205349,0.006151475838271499
5,0.3229166666666667,0.09722222222222221,0.25626427277738406,0.5178298620274955,0.0031484785654523756
6,0.2743055555555556,0.03240740740740744,0.2508799040439161,0.5425073032553754,0.0061835364056608165
7,0.3715277777777778,0.1620370370370371,0.3443714873859972,0.5309861618282931,0.004699402289949029
8,0.5486111111111112,0.39814814814814814,0.521543548914644,0.5349347688778605,0.005305485686598227
9,0.4930555555555556,0.32407407407407407,0.4988467319753279,0.5532246574239338,0.007051179021047839
