target_subject,accuracy_exp_b,kappa_exp_b,f1_macro_exp_b,w_mean,w_std_exp_b,accuracy_exp_a,kappa_exp_a,f1_macro_exp_a,w_std_exp_a,accuracy_delta,kappa_delta,f1_macro_delta,w_std_delta
1,0.5416666666666666,0.38888888888888884,0.510784434166399,0.5813997196572388,0.004807849176794962,0.5381944444444444,0.3842592592592593,0.5073483628556092,0.0053128476496673,0.00347222222222221,0.004629629629629539,0.0034360713107897123,-0.0005049984728723381
2,0.19444444444444445,-0.07407407407407418,0.1804199883903311,0.6090299794971568,0.009582770813462725,0.2013888888888889,-0.0648148148148148,0.183603786455257,0.0059558661941096,-0.0069444444444444475,-0.009259259259259384,-0.0031837980649258857,0.0036269046193531254
3,0.5972222222222222,0.4629629629629629,0.5965150399055174,0.5994690426520636,0.00648910588417028,0.5798611111111112,0.4398148148148147,0.5763412122135007,0.0065361705671028,0.01736111111111105,0.023148148148148195,0.0201738276920167,-4.706468293251987e-05
4,0.4097222222222222,0.2129629629629629,0.38278504088436605,0.5810673781450342,0.0048902917158835215,0.4027777777777778,0.2037037037037037,0.3728945723392268,0.0061514758382714,0.00694444444444442,0.009259259259259217,0.009890468545139253,-0.0012611841223878787
5,0.3020833333333333,0.06944444444444442,0.2399904608742891,0.6021357938144791,0.003939976491789648,0.3229166666666667,0.0972222222222222,0.256264272777384,0.0031484785654523,-0.02083333333333337,-0.027777777777777776,-0.016273811903094904,0.0007914979263373475
6,0.2743055555555556,0.03240740740740744,0.25107726685396586,0.580965257458641,0.005732424250739777,0.2743055555555556,0.0324074074074074,0.2508799040439161,0.0061835364056608,0.0,4.163336342344337e-17,0.00019736281004978373,-0.0004511121549210231
7,0.3715277777777778,0.1620370370370371,0.3490112770143045,0.5776551903333172,0.005086750741332956,0.3715277777777778,0.1620370370370371,0.3443714873859972,0.004699402289949,0.0,0.0,0.0046397896283073,0.0003873484513839563
8,0.5451388888888888,0.3935185185185185,0.5194792324885704,0.5865029476837409,0.0043477832680630865,0.5486111111111112,0.3981481481481481,0.521543548914644,0.0053054856865982,-0.003472222222222321,-0.004629629629629595,-0.0020643164260736313,-0.0009577024185351132
9,0.4861111111111111,0.31481481481481477,0.49125567173012424,0.6061350270852146,0.006438798806014115,0.4930555555555556,0.324074074074074,0.4988467319753279,0.0070511790210478,-0.006944444444444475,-0.009259259259259245,-0.0075910602452036735,-0.0006123802150336853
